Name,Rank,Publication Year,Affiliation,% Docs Cited,Web of Science Documents,Times Cited,Category Normalized Citation Impact,Documents Cited
"Lavazza, Antonio",1,2019,IZS Lombardia e Emilia,75.0,12,78,2.18045,9
"Moreno, Ana",2,2019,IZS Lombardia e Emilia,75.0,8,67,2.7577000000000003,6
"Lelli, Davide",2,2019,IZS Lombardia e Emilia,75.0,8,64,2.689575,6
"Chiapponi, Chiara",2,2019,IZS Lombardia e Emilia,85.71428571428571,7,66,3.1623428571428573,6
"Prosperi, Alice",5,2019,IZS Lombardia e Emilia,83.33333333333334,6,60,3.2254833333333335,5
"Foni, Emanuela",6,2019,IZS Lombardia e Emilia,100.0,4,14,1.69405,4
"Fedrizzi, Giorgio",6,2019,IZS Lombardia e Emilia,57.14285714285714,7,11,0.5285714285714286,4
"Scaltriti, Erika",6,2019,IZS Lombardia e Emilia,100.0,4,7,0.555675,4
"Sozzi, Enrica",6,2019,IZS Lombardia e Emilia,66.66666666666666,6,59,3.263733333333333,4
"Lombardi, Guerino",10,2019,IZS Lombardia e Emilia,75.0,4,4,0.41735,3
"Bolzoni, Luca",10,2019,IZS Lombardia e Emilia,75.0,4,9,0.97445,3
"Brocchi, Emiliana",10,2019,IZS Lombardia e Emilia,75.0,4,16,1.6724750000000002,3
"Capucci, Lorenzo",10,2019,IZS Lombardia e Emilia,100.0,3,9,1.6324333333333332,3
"Tosi, Giovanni",10,2019,IZS Lombardia e Emilia,75.0,4,4,0.60335,3
"Pongolini, Stefano",10,2019,IZS Lombardia e Emilia,100.0,3,6,0.6474000000000001,3
"Massi, Paola",10,2019,IZS Lombardia e Emilia,100.0,3,4,0.8044666666666668,3
"Luppi, Andrea",10,2019,IZS Lombardia e Emilia,100.0,3,10,1.4915000000000003,3
"Losio, M. N.",18,2019,IZS Lombardia e Emilia,50.0,4,5,0.410575,2
"Arrigoni, Norma",18,2019,IZS Lombardia e Emilia,66.66666666666666,3,28,3.0419,2
"Santi, Annalisa",18,2019,IZS Lombardia e Emilia,100.0,2,28,4.6704,2
"Faccin, Francesca",18,2019,IZS Lombardia e Emilia,100.0,2,4,0.6198,2
"Pacciarini, Maria Lodovica",18,2019,IZS Lombardia e Emilia,100.0,2,4,0.9809,2
"Fiorentini, Laura",18,2019,IZS Lombardia e Emilia,100.0,2,2,0.68035,2
"Boniotti, Maria Beatrice",18,2019,IZS Lombardia e Emilia,100.0,2,7,0.90425,2
"Amadori, M.",18,2019,IZS Lombardia e Emilia,100.0,2,8,3.59775,2
"Baioni, Laura",18,2019,IZS Lombardia e Emilia,100.0,2,6,0.9297000000000001,2
"Tranquillo, Vito",27,2019,IZS Lombardia e Emilia,100.0,1,2,1.3423,1
"Amadori, Massimo",27,2019,IZS Lombardia e Emilia,50.0,2,2,0.62965,1
"Bregoli, Arianna",27,2019,IZS Lombardia e Emilia,100.0,1,2,1.0527,1
"Torreggiani, Camilla",27,2019,IZS Lombardia e Emilia,100.0,1,5,1.5495,1
"Galiero, A.",27,2019,IZS Lombardia e Emilia,100.0,1,1,0.3225,1
"Zanni, Irene",27,2019,IZS Lombardia e Emilia,100.0,1,6,3.1581,1
"Cerutti, G.",27,2019,IZS Lombardia e Emilia,100.0,1,1,0.3225,1
"Morganti, Marina",27,2019,IZS Lombardia e Emilia,100.0,1,2,0.6645,1
"Zanoni, Maria Grazia",27,2019,IZS Lombardia e Emilia,100.0,1,3,1.1600000000000001,1
"Dalipi, R.",27,2019,IZS Lombardia e Emilia,100.0,1,3,0.7964,1
"Bracchi, Chiara",27,2019,IZS Lombardia e Emilia,100.0,1,1,0.3632,1
"Cammi, G.",27,2019,IZS Lombardia e Emilia,100.0,1,1,0.3225,1
"Lelli, D.",27,2019,IZS Lombardia e Emilia,50.0,2,6,1.29175,1
"Bertoletti, I",27,2019,IZS Lombardia e Emilia,100.0,1,2,1.2569000000000001,1
"Martinelli, Nicola",27,2019,IZS Lombardia e Emilia,100.0,1,1,0.3138,1
"Dalzini, E.",27,2019,IZS Lombardia e Emilia,100.0,1,1,0.3225,1
"Rosignoli, Carlo",27,2019,IZS Lombardia e Emilia,100.0,1,5,1.5495,1
"Savi, R.",27,2019,IZS Lombardia e Emilia,100.0,1,1,0.3225,1
"Cara, Elena",27,2019,IZS Lombardia e Emilia,100.0,1,2,1.3791,1
"Menotta, Simonetta",27,2019,IZS Lombardia e Emilia,50.0,2,1,0.1467,1
"Giacomelli, S.",27,2019,IZS Lombardia e Emilia,100.0,1,2,1.2569000000000001,1
"Raffini, Elisabetta",27,2019,IZS Lombardia e Emilia,100.0,1,1,0.6895,1
