"","settore","prova","tecnica","labs","Esami"
"1","Alimenti Uomo","Antibiogramma","Diffusione in agar","Laboratorio Diagnostica Generale",1
"2","Alimenti Uomo","Attività dell'acqua (Aw)","Punto di rugiada","Laboratorio Microbiologia degli Alimenti",135
"3","Alimenti Uomo","Bacillus cereus presunto","Microbiologica","Laboratorio Microbiologia degli Alimenti",16
"4","Alimenti Uomo","Campylobacter spp.","Microbiologica","Laboratorio Microbiologia degli Alimenti",2
"5","Alimenti Uomo","Campylobacter spp.","PCR Real Time","Laboratorio Microbiologia degli Alimenti",85
"6","Alimenti Uomo","Clostridi anaerobi solfito riduttori (spore e forme vegetative)","Microbiologica","Laboratorio Microbiologia degli Alimenti",3
"7","Alimenti Uomo","Clostridi anaerobi solfito riduttori (spore)","Microbiologica","Laboratorio Microbiologia degli Alimenti",2
"8","Alimenti Uomo","Clostridium perfringens","Microbiologica","Laboratorio Microbiologia degli Alimenti",18
"9","Alimenti Uomo","Coliformi","Microbiologica a 30°C","Laboratorio Microbiologia degli Alimenti",3
"10","Alimenti Uomo","Coliformi","Microbiologica a 37°C","Laboratorio Microbiologia degli Alimenti",5
"11","Alimenti Uomo","Coliformi totali acqua","MF (Membrana Filtrante)","Laboratorio Microbiologia degli Alimenti",157
"12","Alimenti Uomo","Enterobacteriaceae","Microbiologica a 30°C","Laboratorio Microbiologia degli Alimenti",38
"13","Alimenti Uomo","Enterobacteriaceae","Microbiologica a 37°C","Laboratorio Microbiologia degli Alimenti",465
"14","Alimenti Uomo","Enterococchi acqua (Streptococchi fecali)","MF (Membrana Filtrante)","Laboratorio Microbiologia degli Alimenti",168
"15","Alimenti Uomo","Esame batteriologico latte (1 terreno colturale)","Microbiologica","Laboratorio Diagnostica Generale",1
"16","Alimenti Uomo","Esame batteriologico latte (agar sangue + TKT)","Microbiologica","Laboratorio Diagnostica Generale",1
"17","Alimenti Uomo","Esame batteriologico latte (ricerca Streptococcus agalactiae)","Microbiologica (TKT)","Laboratorio Microbiologia degli Alimenti",99
"18","Alimenti Uomo","Esame ispettivo","Ispettiva","Laboratorio Microbiologia degli Alimenti",7
"19","Alimenti Uomo","Escherichia coli","MF (Membrana Filtrante)","Laboratorio Microbiologia degli Alimenti",169
"20","Alimenti Uomo","Escherichia coli beta glucuronidasi positivi","Microbiologica","Laboratorio Microbiologia degli Alimenti",459
"21","Alimenti Uomo","Lieviti","Microbiologica","Laboratorio Microbiologia degli Alimenti",2
"22","Alimenti Uomo","Listeria monocytogenes","Microbiologica","Laboratorio Microbiologia degli Alimenti",999
"23","Alimenti Uomo","Listeria monocytogenes","MPN","Laboratorio Microbiologia degli Alimenti",225
"24","Alimenti Uomo","Listeria monocytogenes","PCR Real Time","Laboratorio Microbiologia degli Alimenti",1043
"25","Alimenti Uomo","Microrganismi","Microbiologica a 30°C","Laboratorio Microbiologia degli Alimenti",570
"26","Alimenti Uomo","Microrganismi acqua","Microbiologica a 22°C","Laboratorio Microbiologia degli Alimenti",9
"27","Alimenti Uomo","Microrganismi acqua","Microbiologica a 36°C","Laboratorio Microbiologia degli Alimenti",9
"28","Alimenti Uomo","Motivazione di inidoneità campione","Multipla","Laboratorio Diagnostica Generale",0
