"Dipartimento" "Reparto" "Laboratorio"
"1" "Area Territoriale Lombardia" "SEDE TERRITORIALE DI BERGAMO - BINAGO - SONDRIO" "SEDE TERRITORIALE DI BERGAMO"
"2" "Area Territoriale Lombardia" "SEDE TERRITORIALE DI BERGAMO - BINAGO - SONDRIO" "SEDE TERRITORIALE DI BINAGO"
"3" "Area Territoriale Lombardia" "SEDE TERRITORIALE DI BERGAMO - BINAGO - SONDRIO" "SEDE TERRITORIALE DI SONDRIO"
"4" "Area Territoriale Emilia Romagna" "SEDE TERRITORIALE DI BOLOGNA - MODENA - FERRARA" "SEDE TERRITORIALE DI BOLOGNA"
"5" "Area Territoriale Emilia Romagna" "SEDE TERRITORIALE DI BOLOGNA - MODENA - FERRARA" "SEDE TERRITORIALE DI FERRARA"
"6" "Area Territoriale Emilia Romagna" "SEDE TERRITORIALE DI BOLOGNA - MODENA - FERRARA" "SEDE TERRITORIALE DI MODENA"
"7" "Area Territoriale Lombardia" "SEDE TERRITORIALE DI BRESCIA" "SEDE TERRITORIALE DI BRESCIA"
"8" "Dipartimento Sicurezza Alimentare" "REPARTO CHIMICO DEGLI ALIMENTI (BOLOGNA)" "REPARTO CHIMICO DEGLI ALIMENTI (BOLOGNA)"
"9" "Dipartimento Sicurezza Alimentare" "REPARTO CHIMICA DEGLI ALIMENTI E MANGIMI" "LABORATORIO CHIMICA APPLICATA ALLE TECNOLOGIE ALIMENTARI"
"10" "Dipartimento Sicurezza Alimentare" "REPARTO CHIMICA DEGLI ALIMENTI E MANGIMI" "LABORATORIO CONTAMINANTI AMBIENTALI"
"11" "Dipartimento Sicurezza Alimentare" "REPARTO CHIMICA DEGLI ALIMENTI E MANGIMI" "LABORATORIO MANGIMI E TOSSICOLOGIA"
"12" "Dipartimento Sicurezza Alimentare" "REPARTO CHIMICA DEGLI ALIMENTI E MANGIMI" "LABORATORIO RESIDUI"
"13" "Dipartimento Sicurezza Alimentare" "REPARTO CONTROLLO ALIMENTI" "REPARTO CONTROLLO ALIMENTI"
"14" "Area Territoriale Lombardia" "SEDE TERRITORIALE DI CREMONA - MANTOVA" "SEDE TERRITORIALE DI CREMONA"
"15" "Area Territoriale Lombardia" "SEDE TERRITORIALE DI CREMONA - MANTOVA" "SEDE TERRITORIALE DI MANTOVA"
"16" "Area Territoriale Emilia Romagna" "SEDE TERRITORIALE DI FORLÌ - RAVENNA" "SEDE TERRITORIALE DI FORLÌ"
"17" "Area Territoriale Emilia Romagna" "SEDE TERRITORIALE DI FORLÌ - RAVENNA" "SEDE TERRITORIALE DI RAVENNA"
"18" "Area Territoriale Lombardia" "SEDE TERRITORIALE DI LODI - MILANO" "SEDE TERRITORIALE DI LODI"
"19" "Area Territoriale Lombardia" "SEDE TERRITORIALE DI LODI - MILANO" "SEDE TERRITORIALE DI MILANO"
"20" "Area Territoriale Lombardia" "SEDE TERRITORIALE DI PAVIA" "SEDE TERRITORIALE DI PAVIA"
"21" "Area Territoriale Emilia Romagna" "SEDE TERRITORIALE DI PIACENZA - PARMA" "SEDE TERRITORIALE DI PARMA"
"22" "Area Territoriale Emilia Romagna" "SEDE TERRITORIALE DI PIACENZA - PARMA" "SEDE TERRITORIALE DI PIACENZA"
"23" "Dipartimento Tutela e  Salute Animale" "REPARTO PRODUZIONE E CONTROLLO MATERIALE BIOLOGICO" "LABORATORIO BENESSERE ANIMALE, BIOCHIMICA CLINICA, IMMUNOLOGIA VETERINARIA E STABULARI"
"24" "Dipartimento Tutela e  Salute Animale" "REPARTO PRODUZIONE E CONTROLLO MATERIALE BIOLOGICO" "LABORATORIO DI CONTROLLO DI PRODOTTI BIOLOGICI, FARMACEUTICI E CONVALIDA DI PROCESSI PRODUTTIVI"
"25" "Dipartimento Tutela e  Salute Animale" "REPARTO PRODUZIONE E CONTROLLO MATERIALE BIOLOGICO" "LABORATORIO PRODUZIONE TERRENI"
"26" "Dipartimento Tutela e  Salute Animale" "REPARTO PRODUZIONE E CONTROLLO MATERIALE BIOLOGICO" "LABORATORIO PRODUZIONE VACCINI E REAGENTI"
"27" "Dipartimento Sicurezza Alimentare" "REPARTO PRODUZIONE PRIMARIA" "REPARTO PRODUZIONE PRIMARIA"
"28" "Area Territoriale Emilia Romagna" "SEDE TERRITORIALE DI REGGIO EMILIA" "SEDE TERRITORIALE DI REGGIO EMILIA"
"29" "Dipartimento Tutela e  Salute Animale" "REPARTO TECNOLOGIE BIOLOGICHE APPLICATE" "LABORATORIO ANALISI GENOMICHE, LABORATORIO DIAGNOSTICA MOLECOLARE, OGM"
"30" "Dipartimento Tutela e  Salute Animale" "REPARTO TECNOLOGIE BIOLOGICHE APPLICATE" "LABORATORIO BATTERIOLOGIA SPECIALIZZATA"
"31" "Dipartimento Tutela e  Salute Animale" "REPARTO TECNOLOGIE BIOLOGICHE APPLICATE" "LABORATORIO COLTURE CELLULARI, BIOBANCA"
"32" "Dipartimento Tutela e  Salute Animale" "REPARTO VIROLOGIA" "LABORATORIO DI PROTEOMICA E DIAGNOSTICA TSE"
"33" "Dipartimento Tutela e  Salute Animale" "REPARTO VIROLOGIA" "LABORATORIO DI VIROLOGIA E SIEROLOGIA SPECIALIZZATA, MICROSCOPIA ELETTRONICA"
"34" "Dipartimento Tutela e  Salute Animale" "REPARTO VIRUS VESCICOLARI E PRODUZIONI BIOTECNOLOGICHE" "REPARTO VIRUS VESCICOLARI E PRODUZIONI BIOTECNOLOGICHE"
