"StrutturaAssegnataria"
"1" "U.O. PROVV. ECONOMATO E VENDITE"
"2" "FORMAZIONE"
"3" "SISTEMI INFORMATIVI"
"4" "SERVIZIO ASSICURAZIONE QUALITA"
"5" "ANALISI DEL RISCHIO ED EPIDEMIOLOGIA GENOMICA"
"6" "S.T. REGGIO EMILIA"
"7" "S.T. FORLI' E RAVENNA"
"8" "S.T. PIACENZA E PARMA"
"9" "S.T. BOLOGNA, FERRARA E MODENA"
"10" "DIPARTIMENTO AREA TERRITORIALE EMILIA ROMAGNA"
"11" "S.T. PAVIA"
"12" "S.T. BRESCIA"
"13" "S.T. BERGAMO, SONDRIO E BINAGO"
"14" "S.T. LODI E MILANO"
"15" "S.T. CREMONA, MANTOVA"
"16" "DIPARTIMENTO AREA TERRITORIALE LOMBARDIA"
"17" "REP. VIROLOGIA"
"18" "REP. VIRUS VESCICOLARI E PRODUZIONI BIOTECNOLOGICHE"
"19" "REPARTO TECNOLOGIE BIOLOGICHE APPLICATE"
"20" "REPARTO PRODUZIONE E CONTROLLO MATERIALE BIOLOGICO"
"21" "DIPARTIMENTO TUTELA SALUTE ANIMALE"
"22" "REP. PRODUZIONE PRIMARIA"
"23" "REP. CHIMICO ALIMENTI BOLOGNA"
"24" "REPARTO CONTROLLO ALIMENTI"
"25" "REP. CHIM. DEGLI ALIMENTI E MANGIMI"
"26" "DIPARTIMENTO SICUREZZA ALIMENTARE"
"27" "U.O. TECNICO PATRIMONIALE"
"28" "DIPARTIMENTO AMMINISTRATIVO"
"29" "U.O. AFFARI GENERALI E LEGALI"
"30" "U.O. GESTIONE SERVIZI CONTABILI"
"31" "U.O. GESTIONE RISORSE UMANE E SVILUPPO COMPETENZE"
"32" "SEGRETERIA DIREZIONALE"
"33" "CONTROLLO DI GESTIONE"
"34" "DIREZIONE SANITARIA"
"35" "DIREZIONE AMMINISTRATIVA"
"36" "SORVEGLIANZA EPIDEMIOLOGICA"
"37" "GESTIONE CENTRALIZZATA DELLE RICHIESTE DELL'UTENZA"
