"Dipartimento" "Reparto" "Struttura"
"1" "Area Territoriale Emilia Romagna" "STBO-FE-MO" "STBO"
"2" "Area Territoriale Emilia Romagna" "STBO-FE-MO" "STFE"
"3" "Area Territoriale Emilia Romagna" "STBO-FE-MO" "STMO"
"4" "Area Territoriale Emilia Romagna" "STPR-PC" "STPR"
"5" "Area Territoriale Emilia Romagna" "STPR-PC" "STPC"
"6" "Area Territoriale Emilia Romagna" "STFO-RA" "STFO"
"7" "Area Territoriale Emilia Romagna" "STFO-RA" "STRA"
"8" "Area Territoriale Emilia Romagna" "STRE" "STRE"
"9" "Area Territoriale Lombardia" "STBG-BI-SO" "STBG"
"10" "Area Territoriale Lombardia" "STBG-BI-SO" "STSO"
"11" "Area Territoriale Lombardia" "STBG-BI-SO" "STBI"
"12" "Area Territoriale Lombardia" "STLO-MI" "STLO"
"13" "Area Territoriale Lombardia" "STLO-MI" "STMI"
"14" "Area Territoriale Lombardia" "STCR-MN" "STCR"
"15" "Area Territoriale Lombardia" "STCR-MN" "STMN"
"16" "Area Territoriale Lombardia" "STPV" "STPV"
"17" "Area Territoriale Lombardia" "STBS" "STBS"
"18" "Dipartimento Sicurezza Alimentare" "RPP" "RPP"
"19" "Dipartimento Sicurezza Alimentare" "RCABO" "RCABO"
"20" "Dipartimento Sicurezza Alimentare" "RCA" "RCA"
"21" "Dipartimento Sicurezza Alimentare" "RCAM" "RCAM"
"22" "Dipartimento Tutela Salute Animale" "RVIR" "RVIR"
"23" "Dipartimento Tutela Salute Animale" "RVVPB" "RVVPB"
"24" "Dipartimento Tutela Salute Animale" "RTBA" "RTBA"
"25" "Dipartimento Tutela Salute Animale" "RPCMB" "RPCMB"
"26" "Direzione Sanitaria" "AREG" "AREG"
"27" "Direzione Sanitaria" "SORVEPIDEM" "SORVEPIDEM"
"28" "Direzione Sanitaria" "GESTCENT" "GESTCENT"
"29" "Direzione Sanitaria" "FORMAZIONE" "FORMAZIONE"
"30" "Direzione Sanitaria" "SAQ" "SAQ"
"31" "Dipartimento Amministrativo" "AFFGENLEG" "AFFGENLEG"
"32" "Dipartimento Amministrativo" "GESTRISUM" "GESTRISUM"
"33" "Dipartimento Amministrativo" "UOTECPAT" "UOTECPAT"
"34" "Dipartimento Amministrativo" "PROVV" "PROVV"
"35" "Dipartimento Amministrativo" "SERVCONT" "SERVCONT"
